RowNumber,czas,L1,L10,L2,L3,L4,L5,L6,L7,L8,L9,nr_powtorzenia,numer_w_powtorzeniu,treningowa
109,"0","False","True","False","True","True","True","False","True","True","True","-1","988","True"
110,"0","False","False","True","True","False","False","True","True","True","True","-1","486","True"
111,"0","False","True","True","False","True","False","False","True","True","False","-1","714","True"
112,"0","False","True","False","False","True","False","False","True","False","True","-1","840","True"
113,"0","True","False","False","True","False","True","False","False","False","False","-1","21","True"
114,"0","True","False","False","True","True","True","True","True","False","True","-1","381","True"
115,"0","False","False","True","False","False","False","False","True","False","True","-1","322","True"
116,"0","False","False","True","False","True","True","False","False","True","True","-1","410","True"
117,"0","True","False","True","False","False","False","False","True","True","False","-1","195","True"
118,"0","True","True","False","False","False","True","True","True","True","True","-1","1009","True"
119,"0","False","True","True","True","False","False","False","True","False","False","-1","582","True"
120,"0","False","False","True","True","False","True","False","False","True","True","-1","406","True"
121,"0","False","False","True","False","True","True","True","False","False","True","-1","314","True"
122,"0","False","True","False","False","False","True","False","False","False","False","-1","528","True"
123,"0","False","False","True","False","True","False","False","False","False","True","-1","266","True"
124,"0","False","False","True","True","True","False","False","False","False","True","-1","270","True"
125,"0","True","True","True","True","False","False","True","True","True","True","-1","999","True"
126,"0","False","True","True","True","False","True","False","True","True","False","-1","726","True"
127,"0","True","True","False","True","True","False","True","True","True","False","-1","749","True"
128,"0","False","True","True","False","False","True","False","False","False","True","-1","786","True"
129,"0","False","False","False","False","False","True","True","False","False","False","-1","48","True"
130,"0","False","False","False","True","True","True","False","False","False","False","-1","28","True"
131,"0","True","False","False","True","False","False","False","False","True","True","-1","389","True"
132,"0","False","True","True","True","False","True","False","False","False","False","-1","534","True"
133,"0","True","False","False","False","False","True","True","False","True","True","-1","433","True"
134,"0","True","True","True","True","True","False","False","False","False","False","-1","527","True"
135,"0","False","False","False","True","True","True","True","False","True","False","-1","188","True"
136,"0","False","False","False","False","False","True","False","True","True","True","-1","464","True"
137,"0","False","True","True","True","False","False","False","True","True","True","-1","966","True"
138,"0","False","False","False","False","True","True","False","False","True","False","-1","152","True"
139,"0","False","True","True","False","False","True","False","True","True","False","-1","722","True"
140,"0","False","True","True","False","True","False","True","True","False","True","-1","874","True"
141,"0","False","True","True","False","True","True","True","False","True","False","-1","698","True"
142,"0","True","True","False","False","False","False","True","True","True","False","-1","737","True"
143,"0","True","False","True","False","False","False","False","False","False","False","-1","3","True"
144,"0","False","False","False","True","False","False","False","True","False","False","-1","68","True"
145,"0","False","True","True","True","True","True","True","True","True","False","-1","766","True"
146,"0","False","False","True","False","True","False","False","True","True","False","-1","202","True"
147,"0","True","False","False","False","False","False","True","False","False","False","-1","33","True"
148,"0","False","True","True","True","False","False","True","False","False","False","-1","550","True"
149,"0","False","True","False","True","True","True","True","True","False","False","-1","636","True"
150,"0","False","False","False","True","True","False","False","False","True","True","-1","396","True"
151,"0","False","True","True","False","False","False","False","True","False","True","-1","834","True"
152,"0","True","False","False","False","False","False","False","True","False","False","-1","65","True"
153,"0","True","False","False","True","True","True","True","True","True","False","-1","253","True"
154,"0","False","False","False","False","True","False","True","True","True","False","-1","232","True"
155,"0","True","True","False","True","False","True","True","True","False","False","-1","629","True"
156,"0","True","True","True","True","True","True","True","False","True","True","-1","959","True"
157,"0","True","False","True","False","True","False","False","False","True","True","-1","395","True"
158,"0","True","True","False","True","True","True","True","True","True","True","-1","1021","True"
159,"0","False","False","False","False","True","True","True","True","False","True","-1","376","True"
160,"0","False","False","False","True","False","False","True","False","False","True","-1","292","True"
161,"0","True","False","True","False","False","False","True","False","True","True","-1","419","True"
162,"0","False","False","True","False","True","True","False","True","True","True","-1","474","True"
163,"0","True","False","True","True","True","True","False","False","True","True","-1","415","True"
164,"0","True","False","False","True","False","False","False","True","False","True","-1","325","True"
165,"0","False","True","False","False","True","False","False","False","False","False","-1","520","True"
166,"0","False","False","False","True","True","False","False","True","False","False","-1","76","True"
167,"0","True","True","False","True","False","True","False","False","False","True","-1","789","True"
168,"0","False","True","True","True","True","False","True","True","False","False","-1","622","True"
169,"0","False","True","False","True","False","True","False","False","False","True","-1","788","True"
170,"0","False","True","False","False","False","False","False","True","True","False","-1","704","True"
171,"0","True","False","True","False","False","True","False","False","True","False","-1","147","True"
172,"0","False","False","False","True","False","False","False","False","False","False","-1","4","True"
173,"0","True","False","False","False","False","True","False","False","False","False","-1","17","True"
174,"0","False","True","True","False","True","False","False","False","True","False","-1","650","True"
175,"0","True","False","False","False","False","True","True","True","False","False","-1","113","True"
176,"0","True","False","True","False","False","True","True","True","True","False","-1","243","True"
177,"0","True","True","True","True","True","True","False","True","True","False","-1","735","True"
178,"0","False","False","True","True","False","True","False","True","True","True","-1","470","True"
179,"0","False","True","False","True","False","True","False","False","True","True","-1","916","True"
180,"0","True","True","False","False","False","True","False","False","False","False","-1","529","True"
181,"0","False","False","False","True","True","False","True","False","False","False","-1","44","True"
182,"0","True","True","False","True","True","False","True","True","False","False","-1","621","True"
183,"0","False","False","True","True","False","True","True","False","False","True","-1","310","True"
184,"0","False","False","False","True","False","True","False","True","True","False","-1","212","True"
185,"0","True","False","True","True","False","True","True","True","True","False","-1","247","True"
186,"0","False","False","True","True","True","False","True","False","True","True","-1","430","True"
187,"0","False","False","True","True","False","True","False","True","True","False","-1","214","True"
188,"0","False","True","True","False","True","True","False","True","False","False","-1","602","True"
189,"0","False","False","True","False","True","False","True","True","False","False","-1","106","True"
190,"0","True","True","True","True","True","False","False","False","True","False","-1","655","True"
191,"0","True","False","False","True","False","True","False","True","False","True","-1","341","True"
192,"0","True","True","False","False","True","False","True","True","False","True","-1","873","True"
193,"0","False","True","False","False","False","True","False","False","True","False","-1","656","True"
194,"0","True","True","False","True","True","True","True","True","False","True","-1","893","True"
195,"0","False","False","False","False","False","True","True","True","True","True","-1","496","True"
196,"0","False","False","False","False","True","True","False","True","False","True","-1","344","True"
197,"0","False","False","True","False","True","True","True","False","False","False","-1","58","True"
198,"0","True","True","True","False","True","False","False","False","False","True","-1","779","True"
199,"0","True","False","False","True","True","True","False","False","False","False","-1","29","True"
200,"0","False","False","True","True","True","False","True","True","True","True","-1","494","True"
201,"0","False","False","False","False","False","True","True","False","True","True","-1","432","True"
202,"0","False","False","False","False","False","False","True","True","False","False","-1","96","True"
203,"0","False","True","True","True","True","True","False","False","True","False","-1","670","True"
204,"0","False","True","False","True","False","True","False","False","False","False","-1","532","True"
205,"0","False","False","True","True","True","False","True","True","False","True","-1","366","True"
206,"0","False","False","False","False","False","False","True","False","False","True","-1","288","True"
207,"0","False","True","False","True","True","False","False","False","False","True","-1","780","True"
208,"0","True","True","True","False","False","True","False","False","True","False","-1","659","True"
209,"0","True","True","True","False","True","False","False","True","True","False","-1","715","True"
210,"0","False","False","False","False","False","False","True","True","True","False","-1","224","True"
211,"0","False","False","True","False","True","False","False","True","False","False","-1","74","True"
212,"0","True","False","True","True","False","True","True","False","True","False","-1","183","True"
213,"0","False","True","True","False","True","True","True","True","True","True","-1","1018","True"
214,"0","False","True","True","False","False","True","False","True","True","True","-1","978","True"
215,"0","True","True","True","False","False","True","False","False","False","True","-1","787","True"
216,"0","False","True","False","True","True","False","False","False","False","False","-1","524","True"
217,"0","False","True","False","True","True","False","True","True","False","False","-1","620","True"
218,"0","False","True","False","False","True","True","False","True","False","True","-1","856","True"
219,"0","False","False","True","False","False","True","True","False","True","False","-1","178","True"
220,"0","False","True","True","True","False","True","True","False","True","True","-1","950","True"
221,"0","False","False","True","False","True","False","False","False","False","False","-1","10","True"
222,"0","False","False","True","False","True","False","True","False","True","False","-1","170","True"
223,"0","True","True","True","False","False","True","True","True","False","True","-1","883","True"
224,"0","True","True","True","True","False","False","True","False","True","True","-1","935","True"
225,"0","True","False","True","True","False","True","False","False","False","True","-1","279","True"
226,"0","False","False","True","False","False","True","False","True","True","False","-1","210","True"
227,"0","True","True","False","True","False","True","False","False","True","False","-1","661","True"
228,"0","True","False","False","False","True","False","True","False","True","False","-1","169","True"
229,"0","False","True","False","False","False","False","True","True","False","False","-1","608","True"
230,"0","False","False","True","True","True","False","True","True","True","False","-1","238","True"
231,"0","True","False","True","False","True","False","True","True","True","False","-1","235","True"
232,"0","False","False","False","True","False","True","False","False","False","True","-1","276","True"
233,"0","False","False","True","False","False","True","True","True","False","True","-1","370","True"
234,"0","False","True","True","True","True","False","False","True","True","True","-1","974","True"
235,"0","False","False","True","False","False","True","False","False","False","True","-1","274","True"
236,"0","True","True","True","False","True","True","False","False","True","True","-1","923","True"
237,"0","True","False","False","True","False","True","True","False","True","True","-1","437","True"
238,"0","False","True","True","False","True","True","False","True","False","True","-1","858","True"
239,"0","True","True","True","False","False","False","True","True","False","True","-1","867","True"
240,"0","True","True","True","True","False","True","True","True","False","True","-1","887","True"
241,"0","False","False","True","True","False","True","False","False","False","False","-1","22","True"
242,"0","False","True","False","True","True","True","True","True","True","True","-1","1020","True"
243,"0","True","False","True","False","True","False","False","False","True","False","-1","139","True"
244,"0","True","False","True","True","True","False","False","True","True","True","-1","463","True"
245,"0","True","True","True","True","False","False","False","True","False","True","-1","839","True"
246,"0","True","True","True","True","True","False","False","True","False","True","-1","847","True"
247,"0","False","True","True","True","True","False","False","False","False","True","-1","782","True"
248,"0","False","False","False","False","False","False","True","False","True","False","-1","160","True"
249,"0","True","False","True","False","False","False","False","True","False","False","-1","67","True"
250,"0","False","False","False","True","False","True","False","False","True","True","-1","404","True"
251,"0","False","True","True","False","True","True","False","True","True","False","-1","730","True"
252,"0","True","True","False","False","False","True","True","True","False","True","-1","881","True"
253,"0","False","True","True","False","True","False","False","False","False","False","-1","522","True"
254,"0","True","True","True","False","False","False","True","True","False","False","-1","611","True"
255,"0","False","False","False","True","True","False","False","True","True","False","-1","204","True"
256,"0","False","False","True","False","False","True","False","False","True","False","-1","146","True"
257,"0","False","True","True","True","False","True","True","False","False","False","-1","566","True"
258,"0","True","False","False","True","True","True","False","True","True","False","-1","221","True"
259,"0","True","False","False","False","True","True","False","True","True","True","-1","473","True"
260,"0","True","False","False","True","False","True","False","True","False","False","-1","85","True"
261,"0","True","False","False","True","True","False","False","True","False","True","-1","333","True"
262,"0","True","True","True","False","False","False","True","False","True","True","-1","931","True"
263,"0","True","True","True","False","True","True","False","False","False","False","-1","539","True"
264,"0","True","False","False","True","False","False","False","False","False","False","-1","5","True"
265,"0","True","True","False","False","False","False","False","False","False","True","-1","769","True"
266,"0","True","True","True","False","True","False","True","False","False","False","-1","555","True"
267,"0","False","False","True","False","False","False","True","False","True","True","-1","418","True"
268,"0","True","True","True","False","False","False","False","True","True","False","-1","707","True"
269,"0","False","False","False","False","False","False","False","False","False","False","-1","0","True"
270,"0","True","False","False","False","False","True","True","False","False","True","-1","305","True"
271,"0","True","True","False","True","True","True","True","True","True","False","-1","765","True"
272,"0","True","True","True","False","False","False","False","False","False","True","-1","771","True"
273,"0","True","False","False","False","False","True","False","True","False","False","-1","81","True"
274,"0","False","False","False","True","False","True","False","False","True","False","-1","148","True"
275,"0","False","True","True","True","True","False","True","False","True","False","-1","686","True"
276,"0","True","True","True","False","True","False","True","False","False","True","-1","811","True"
277,"0","False","True","False","True","False","False","True","True","False","False","-1","612","True"
278,"0","False","False","True","False","False","False","True","True","False","True","-1","354","True"
279,"0","True","False","False","False","False","False","True","False","False","True","-1","289","True"
280,"0","False","True","True","True","True","False","True","False","False","False","-1","558","True"
281,"0","False","False","True","True","True","False","False","True","False","True","-1","334","True"
282,"0","False","False","False","True","True","True","False","True","True","False","-1","220","True"
283,"0","True","True","True","False","True","True","False","False","True","False","-1","667","True"
284,"0","False","True","False","True","True","False","True","False","False","True","-1","812","True"
285,"0","False","True","True","False","True","False","True","True","True","False","-1","746","True"
286,"0","True","False","True","False","True","True","False","False","False","True","-1","283","True"
287,"0","True","True","False","False","False","True","True","False","True","False","-1","689","True"
288,"0","False","True","True","True","True","False","False","False","True","False","-1","654","True"
289,"0","False","False","True","True","False","True","False","True","False","True","-1","342","True"
290,"0","False","False","False","False","True","False","False","False","True","True","-1","392","True"
291,"0","False","False","True","True","True","False","True","True","False","False","-1","110","True"
292,"0","True","False","False","False","False","False","True","True","True","True","-1","481","True"
293,"0","True","False","False","True","False","False","False","True","True","False","-1","197","True"
294,"0","True","True","False","False","False","False","True","True","False","False","-1","609","True"
295,"0","True","True","True","False","True","False","True","True","True","True","-1","1003","True"
296,"0","True","False","False","False","True","False","True","True","False","True","-1","361","True"
297,"0","True","False","False","True","False","False","True","False","True","True","-1","421","True"
298,"0","True","True","True","False","False","True","False","True","True","True","-1","979","True"
299,"0","False","True","True","True","True","True","False","False","True","True","-1","926","True"
300,"0","True","False","False","False","True","True","False","True","False","True","-1","345","True"
301,"0","True","True","False","True","False","False","False","True","True","False","-1","709","True"
302,"0","False","True","False","True","False","True","True","False","False","True","-1","820","True"
303,"0","True","False","False","True","False","False","False","False","True","False","-1","133","True"
304,"0","False","False","True","True","False","False","True","True","True","False","-1","230","True"
305,"0","False","True","True","False","False","False","True","True","True","False","-1","738","True"
306,"0","False","False","False","True","False","False","False","True","True","True","-1","452","True"
307,"0","False","False","True","True","True","True","True","False","False","False","-1","62","True"
308,"0","False","False","True","True","False","True","True","False","False","False","-1","54","True"
309,"0","True","False","True","False","True","True","False","True","False","False","-1","91","True"
310,"0","True","True","True","True","True","False","True","False","False","False","-1","559","True"
311,"0","False","True","False","True","False","False","True","True","True","True","-1","996","True"
312,"0","False","False","False","True","False","True","False","True","True","True","-1","468","True"
313,"0","True","False","False","False","True","True","False","True","False","False","-1","89","True"
314,"0","True","False","True","False","True","True","True","False","True","True","-1","443","True"
315,"0","True","True","False","False","True","False","False","True","True","True","-1","969","True"
316,"0","True","True","False","True","True","False","False","False","False","True","-1","781","True"
317,"0","False","True","True","False","True","True","False","False","True","True","-1","922","True"
318,"0","True","True","False","True","True","False","True","True","False","True","-1","877","True"
319,"0","False","False","True","True","True","False","True","False","False","True","-1","302","True"
320,"0","True","False","True","False","False","True","True","False","True","True","-1","435","True"
321,"0","True","False","False","False","True","False","True","False","False","True","-1","297","True"
322,"0","True","False","False","True","False","True","False","False","True","True","-1","405","True"
323,"0","True","False","False","False","True","True","False","False","False","False","-1","25","True"
324,"0","True","False","True","True","True","False","False","False","True","False","-1","143","True"
325,"0","True","True","True","False","False","True","True","False","False","True","-1","819","True"
326,"0","True","True","False","True","True","False","True","False","False","True","-1","813","True"
327,"0","True","False","True","False","True","False","True","True","False","False","-1","107","True"
328,"0","False","False","False","True","False","False","True","False","True","False","-1","164","True"
329,"0","True","True","True","True","True","False","False","True","True","False","-1","719","True"
330,"0","False","False","False","True","False","False","True","False","True","True","-1","420","True"
331,"0","True","False","True","True","False","False","True","True","True","False","-1","231","True"
332,"0","True","False","True","True","False","False","False","False","True","True","-1","391","True"
333,"0","False","True","False","False","False","False","False","True","False","False","-1","576","True"
334,"0","False","True","False","True","True","True","False","True","False","True","-1","860","True"
335,"0","False","True","False","False","True","True","False","True","True","True","-1","984","True"
336,"0","True","True","True","True","False","True","False","False","True","False","-1","663","True"
337,"0","True","False","True","False","True","False","False","True","False","False","-1","75","True"
338,"0","False","True","False","False","False","False","False","True","False","True","-1","832","True"
339,"0","False","False","False","True","False","False","False","True","False","True","-1","324","True"
340,"0","True","True","True","True","False","False","False","False","True","True","-1","903","True"
341,"0","True","False","False","True","True","False","True","False","False","False","-1","45","True"
342,"0","True","True","True","False","True","True","True","True","True","False","-1","763","True"
343,"0","True","False","True","True","True","False","False","True","False","False","-1","79","True"
344,"0","False","False","False","False","True","False","True","False","False","False","-1","40","True"
345,"0","False","True","True","True","True","True","True","True","False","True","-1","894","True"
346,"0","False","True","False","False","True","False","False","True","True","False","-1","712","True"
347,"0","False","False","False","True","True","True","True","False","False","False","-1","60","True"
348,"0","False","False","True","False","False","False","False","False","False","False","-1","2","True"
349,"0","False","False","False","False","True","True","False","False","False","False","-1","24","True"
350,"0","False","True","True","False","False","True","False","True","False","True","-1","850","True"
351,"0","False","True","True","True","False","False","False","True","False","True","-1","838","True"
352,"0","True","True","False","False","False","False","False","True","True","False","-1","705","True"
353,"0","False","False","True","False","False","False","True","True","False","False","-1","98","True"
354,"0","True","False","True","False","False","False","True","True","True","False","-1","227","True"
355,"0","False","False","True","False","False","False","False","False","False","True","-1","258","True"
356,"0","True","False","True","False","False","False","False","True","False","True","-1","323","True"
357,"0","False","True","False","True","True","False","False","False","True","True","-1","908","True"
358,"0","True","True","False","True","False","False","True","True","False","True","-1","869","True"
359,"0","False","True","False","False","True","True","True","True","True","False","-1","760","True"
360,"0","True","False","True","False","False","False","True","True","False","False","-1","99","True"
361,"0","True","False","False","False","True","True","False","True","True","False","-1","217","True"
362,"0","False","True","False","True","True","True","False","True","True","False","-1","732","True"
363,"0","True","False","True","False","True","False","False","True","True","False","-1","203","True"
364,"0","False","True","True","True","True","True","True","False","False","True","-1","830","True"
365,"0","True","True","False","False","False","True","True","False","False","False","-1","561","True"
366,"0","True","True","True","False","False","False","True","False","False","False","-1","547","True"
367,"0","True","True","True","False","False","True","False","True","False","False","-1","595","True"
368,"0","True","True","False","True","True","False","True","True","True","True","-1","1005","True"
369,"0","False","False","False","True","False","True","True","True","True","True","-1","500","True"
370,"0","False","False","False","False","False","True","False","False","True","True","-1","400","True"
371,"0","False","False","False","True","True","False","False","False","True","False","-1","140","True"
372,"0","True","False","False","False","False","True","False","True","False","True","-1","337","True"
373,"0","False","True","True","True","True","True","False","True","False","False","-1","606","True"
374,"0","False","False","True","True","False","True","False","True","False","False","-1","86","True"
375,"0","False","False","True","False","False","False","True","False","False","True","-1","290","True"
376,"0","True","True","False","False","False","True","False","True","True","True","-1","977","True"
377,"0","False","False","False","False","True","False","False","True","True","False","-1","200","True"
378,"0","True","True","True","False","False","True","False","False","False","False","-1","531","True"
379,"0","True","False","False","False","True","False","True","False","False","False","-1","41","True"
380,"0","False","False","True","False","True","False","True","True","True","False","-1","234","True"
381,"0","True","False","True","True","True","True","True","False","True","True","-1","447","True"
382,"0","False","True","True","False","False","True","False","True","False","False","-1","594","True"
383,"0","True","False","False","False","False","False","False","True","False","True","-1","321","True"
384,"0","True","True","False","False","False","True","False","True","True","False","-1","721","True"
385,"0","False","True","True","False","False","True","True","True","True","True","-1","1010","True"
386,"0","True","False","False","False","False","False","False","False","False","True","-1","257","True"
387,"0","False","False","False","False","False","True","False","True","False","False","-1","80","True"
388,"0","True","True","False","False","True","False","False","True","False","True","-1","841","True"
389,"0","False","False","False","False","True","False","False","True","False","False","-1","72","True"
390,"0","True","False","False","True","True","True","False","False","True","False","-1","157","True"
391,"0","True","False","False","True","False","True","True","False","False","False","-1","53","True"
392,"0","False","True","False","False","True","False","False","True","True","True","-1","968","True"
393,"0","False","True","True","False","False","False","False","False","False","False","-1","514","True"
394,"0","True","False","True","False","False","True","True","True","False","False","-1","115","True"
395,"0","False","True","True","True","False","True","False","False","False","True","-1","790","True"
396,"0","False","False","True","True","True","False","False","True","True","True","-1","462","True"
397,"0","False","True","True","True","False","True","True","True","False","True","-1","886","True"
398,"0","False","True","False","True","True","True","True","True","True","False","-1","764","True"
399,"0","False","True","True","True","False","True","True","True","True","True","-1","1014","True"
400,"0","True","False","False","False","True","False","True","True","True","True","-1","489","True"
401,"0","False","False","True","False","False","False","False","False","True","True","-1","386","True"
402,"0","True","True","True","True","False","False","False","False","False","True","-1","775","True"
403,"0","True","False","True","False","True","True","True","True","False","True","-1","379","True"
404,"0","False","False","False","False","False","True","True","True","False","True","-1","368","True"
405,"0","False","True","True","False","True","False","False","False","False","True","-1","778","True"
406,"0","True","False","False","True","True","False","True","True","False","True","-1","365","True"
407,"0","True","True","False","True","False","True","True","True","True","True","-1","1013","True"
408,"0","False","False","True","True","False","False","False","True","True","False","-1","198","True"
409,"0","True","False","True","True","False","False","True","False","True","True","-1","423","True"
410,"0","False","True","False","True","False","True","False","True","True","False","-1","724","True"
411,"0","False","True","False","True","False","False","True","True","False","True","-1","868","True"
412,"0","False","False","False","True","True","True","False","False","True","True","-1","412","True"
413,"0","True","False","True","True","True","False","True","True","False","False","-1","111","True"
414,"0","False","False","True","False","True","True","True","False","True","False","-1","186","True"
415,"0","False","True","True","False","True","True","True","False","False","False","-1","570","True"
416,"0","False","True","False","False","False","False","False","False","True","False","-1","640","True"
417,"0","False","True","False","False","True","False","True","True","True","False","-1","744","True"
418,"0","True","False","True","True","True","True","True","True","True","False","-1","255","True"
419,"0","True","True","False","False","True","False","True","False","True","False","-1","681","True"
